ServerName,DatabaseName,Size_Used,Year,Month,Growth%
Server1,DB1,266.60,2021,1,0.380800
Server1,DB1,224.00,2021,2,0.320000
Server1,DB1,248.00,2021,3,0.354200
Server1,DB1,474.76,2021,4,0.678200
Server1,DB1,506.74,2021,5,0.723900
Server1,DB1,240.00,2021,6,0.342800
Server1,DB1,538.52,2021,7,0.769300
Server1,DB1,538.52,2021,8,0.769300
Server1,DB1,240.00,2021,9,0.342800
Server1,DB1,248.00,2021,10,0.354200
Server1,DB1,240.00,2021,11,0.342800
Server1,DB1,269.28,2021,12,0.384600
Server1,DB1,706.14,2022,1,1.008700
Server1,DB1,466.48,2022,2,0.666400
Server1,DB1,516.46,2022,3,0.737800
Server1,DB1,827.94,2022,4,1.182700
Server1,DB1,849.94,2022,5,1.214200
Server1,DB1,499.80,2022,6,0.714000
Server1,DB1,951.26,2022,7,1.358900
Server1,DB1,913.90,2022,8,1.305500
Server1,DB1,499.80,2022,9,0.714000
Server1,DB1,516.46,2022,10,0.737800
Server1,DB1,499.80,2022,11,0.714000
Server1,DB1,695.48,2022,12,0.993500
Server1,DB1,183.54,2023,1,0.262200
Server1,DB1,149.52,2023,2,0.213600
Server1,DB1,165.54,2023,3,0.236400
Server1,DB1,226.60,2023,4,0.323700
Server1,DB1,223.28,2023,5,0.318900
Server1,DB1,160.20,2023,6,0.228800
Server1,DB1,253.26,2023,7,0.361800
Server1,DB1,243.90,2023,8,0.348400
Server1,DB1,160.20,2023,9,0.228800
Server1,DB1,165.54,2023,10,0.236400
Server1,DB1,160.20,2023,11,0.228800
Server1,DB1,185.54,2023,12,0.265000
Server1,DB1,511.30,2024,1,0.730400
Server1,DB1,414.70,2024,2,0.592400
Server1,DB1,443.30,2024,3,0.633200
Server1,DB1,473.20,2024,4,0.676000
Server1,DB1,485.80,2024,5,0.694000
Server1,DB1,429.00,2024,6,0.612800
Server1,DB1,538.50,2024,7,0.769200
Server1,DB1,550.40,2024,8,0.786200
Server1,DB1,429.00,2024,9,0.612800
Server1,DB1,443.30,2024,10,0.633200
Server1,DB1,429.00,2024,11,0.612800
Server1,DB1,519.80,2024,12,0.742500
Server1,DB1,1389.12,2025,1,1.984400
Server1,DB1,1187.20,2025,2,1.696000
Server1,DB1,1314.40,2025,3,1.877700
Server1,DB1,1226.72,2025,4,1.752400
Server1,DB1,1274.46,2025,5,1.820600
Server1,DB1,1272.00,2025,6,1.817100
Server1,DB1,1306.50,2025,7,1.866400
Server1,DB1,731.50,2025,8,1.045000
Server1,DB2,185.00,2021,1,0.264200
Server1,DB2,42.00,2021,2,0.060000
Server1,DB2,46.50,2021,3,0.066400
Server1,DB2,925.00,2021,4,1.321400
Server1,DB2,964.50,2021,5,1.377800
Server1,DB2,45.00,2021,6,0.064200
Server1,DB2,889.50,2021,7,1.270700
Server1,DB2,889.50,2021,8,1.270700
Server1,DB2,45.00,2021,9,0.064200
Server1,DB2,46.50,2021,10,0.066400
Server1,DB2,45.00,2021,11,0.064200
Server1,DB2,186.50,2021,12,0.266400
Server1,DB2,407.50,2022,1,0.582100
Server1,DB2,182.00,2022,2,0.260000
Server1,DB2,201.50,2022,3,0.287800
Server1,DB2,1020.00,2022,4,1.457100
Server1,DB2,1052.50,2022,5,1.503500
Server1,DB2,195.00,2022,6,0.278500
Server1,DB2,993.50,2022,7,1.419200
Server1,DB2,971.50,2022,8,1.387800
Server1,DB2,195.00,2022,9,0.278500
Server1,DB2,201.50,2022,10,0.287800
Server1,DB2,195.00,2022,11,0.278500
Server1,DB2,405.50,2022,12,0.579200
Server1,DB2,547.50,2023,1,0.782100
Server1,DB2,294.00,2023,2,0.420000
Server1,DB2,325.50,2023,3,0.465000
Server1,DB2,1025.00,2023,4,1.464200
Server1,DB2,1047.50,2023,5,1.496400
Server1,DB2,315.00,2023,6,0.450000
Server1,DB2,993.50,2023,7,1.419200
Server1,DB2,971.50,2023,8,1.387800
Server1,DB2,315.00,2023,9,0.450000
Server1,DB2,325.50,2023,10,0.465000
Server1,DB2,315.00,2023,11,0.450000
Server1,DB2,551.50,2023,12,0.787800
Server1,DB2,737.50,2024,1,1.053500
Server1,DB2,420.50,2024,2,0.600700
Server1,DB2,449.50,2024,3,0.642100
Server1,DB2,1015.00,2024,4,1.450000
Server1,DB2,1047.50,2024,5,1.496400
Server1,DB2,435.00,2024,6,0.621400
Server1,DB2,971.50,2024,7,1.387800
Server1,DB2,982.50,2024,8,1.403500
Server1,DB2,435.00,2024,9,0.621400
Server1,DB2,449.50,2024,10,0.642100
Server1,DB2,435.00,2024,11,0.621400
Server1,DB2,742.50,2024,12,1.060700
Server1,DB2,1334.50,2025,1,1.906400
Server1,DB2,854.00,2025,2,1.220000
Server1,DB2,945.50,2025,3,1.350700
Server1,DB2,1675.00,2025,4,2.392800
Server1,DB2,1424.50,2025,5,2.035000
Server1,DB2,915.00,2025,6,1.307100
Server1,DB2,1343.50,2025,7,1.919200
Server1,DB2,754.50,2025,8,1.077800
Server2,DB5,-224.00,2021,1,-0.320000
Server2,DB5,373.52,2021,2,0.533600
Server2,DB5,413.54,2021,3,0.590700
Server2,DB5,-240.00,2021,4,-0.342800
Server2,DB5,-248.00,2021,5,-0.354200
Server2,DB5,280.20,2021,6,0.400200
Server2,DB5,289.54,2021,7,0.413600
Server2,DB5,-248.00,2021,8,-0.354200
Server2,DB5,1399.80,2021,9,1.999700
Server2,DB5,1446.46,2021,10,2.066300
Server2,DB5,-240.00,2021,11,-0.342800
Server2,DB5,-248.00,2021,12,-0.354200
Server2,DB5,124.00,2022,1,0.177100
Server2,DB5,672.00,2022,2,0.960000
Server2,DB5,744.00,2022,3,1.062800
Server2,DB5,120.00,2022,4,0.171400
Server2,DB5,124.00,2022,5,0.177100
